type_subtype,latitude,longitude,count
ACCIDENT - MAJOR,41.9,-87.66,360
ACCIDENT - MAJOR,41.87,-87.64,225
ACCIDENT - MAJOR,41.88,-87.65,192
ACCIDENT - MAJOR,41.86,-87.64,161
ACCIDENT - MAJOR,41.85,-87.64,157
ACCIDENT - MAJOR,41.89,-87.65,145
ACCIDENT - MAJOR,41.81,-87.63,143
ACCIDENT - MAJOR,41.78,-87.63,135
ACCIDENT - MAJOR,41.88,-87.66,123
ACCIDENT - MAJOR,41.84,-87.63,119
ACCIDENT - MINOR,41.89,-87.65,66
ACCIDENT - MINOR,41.9,-87.62,58
ACCIDENT - MINOR,41.88,-87.65,56
ACCIDENT - MINOR,41.86,-87.64,52
ACCIDENT - MINOR,41.9,-87.66,47
ACCIDENT - MINOR,41.85,-87.64,45
ACCIDENT - MINOR,41.95,-87.72,39
ACCIDENT - MINOR,41.96,-87.74,38
ACCIDENT - MINOR,41.92,-87.67,36
ACCIDENT - MINOR,41.87,-87.64,35
ACCIDENT - UNCLASSIFIED,41.9,-87.66,561
ACCIDENT - UNCLASSIFIED,41.88,-87.65,536
ACCIDENT - UNCLASSIFIED,41.89,-87.65,452
ACCIDENT - UNCLASSIFIED,41.9,-87.62,437
ACCIDENT - UNCLASSIFIED,41.85,-87.64,363
ACCIDENT - UNCLASSIFIED,41.86,-87.64,352
ACCIDENT - UNCLASSIFIED,41.87,-87.64,340
ACCIDENT - UNCLASSIFIED,41.81,-87.63,307
ACCIDENT - UNCLASSIFIED,41.97,-87.75,279
ACCIDENT - UNCLASSIFIED,41.84,-87.63,268
HAZARD - ON_ROAD,41.88,-87.67,2060
HAZARD - ON_ROAD,41.88,-87.65,1743
HAZARD - ON_ROAD,41.89,-87.65,1534
HAZARD - ON_ROAD,41.86,-87.64,1456
HAZARD - ON_ROAD,41.87,-87.64,1389
HAZARD - ON_ROAD,41.88,-87.62,1355
HAZARD - ON_ROAD,41.81,-87.63,1228
HAZARD - ON_ROAD,41.84,-87.63,1222
HAZARD - ON_ROAD,41.99,-87.66,1217
HAZARD - ON_ROAD,41.97,-87.75,1209
HAZARD - ON_SHOULDER,41.84,-87.63,3388
HAZARD - ON_SHOULDER,41.82,-87.63,3208
HAZARD - ON_SHOULDER,41.89,-87.65,2877
HAZARD - ON_SHOULDER,41.88,-87.65,2826
HAZARD - ON_SHOULDER,41.8,-87.63,2816
HAZARD - ON_SHOULDER,41.97,-87.75,2788
HAZARD - ON_SHOULDER,41.79,-87.63,2754
HAZARD - ON_SHOULDER,41.83,-87.63,2704
HAZARD - ON_SHOULDER,41.81,-87.63,2641
HAZARD - ON_SHOULDER,41.66,-87.59,2498
HAZARD - UNCLASSIFIED,41.99,-87.82,276
HAZARD - UNCLASSIFIED,41.98,-87.81,156
HAZARD - UNCLASSIFIED,41.99,-87.81,127
HAZARD - UNCLASSIFIED,41.97,-87.81,121
HAZARD - UNCLASSIFIED,41.98,-87.82,115
HAZARD - UNCLASSIFIED,41.81,-87.63,57
HAZARD - UNCLASSIFIED,41.84,-87.63,56
HAZARD - UNCLASSIFIED,41.98,-87.84,55
HAZARD - UNCLASSIFIED,41.85,-87.63,45
HAZARD - UNCLASSIFIED,41.85,-87.64,42
HAZARD - WEATHER,41.66,-87.59,221
HAZARD - WEATHER,41.91,-87.63,117
HAZARD - WEATHER,41.85,-87.64,83
HAZARD - WEATHER,41.99,-87.66,79
HAZARD - WEATHER,41.9,-87.62,77
HAZARD - WEATHER,41.88,-87.65,73
HAZARD - WEATHER,41.65,-87.58,71
HAZARD - WEATHER,41.69,-87.6,67
HAZARD - WEATHER,41.96,-87.65,64
HAZARD - WEATHER,41.83,-87.69,59
JAM - HEAVY,41.9,-87.66,4323
JAM - HEAVY,41.88,-87.65,4214
JAM - HEAVY,41.89,-87.65,4194
JAM - HEAVY,41.96,-87.74,2945
JAM - HEAVY,41.97,-87.76,2752
JAM - HEAVY,41.94,-87.71,2731
JAM - HEAVY,41.93,-87.69,2514
JAM - HEAVY,41.92,-87.67,2458
JAM - HEAVY,41.98,-87.78,2428
JAM - HEAVY,41.97,-87.75,2399
JAM - LIGHT,41.84,-87.71,1
JAM - LIGHT,41.86,-87.62,1
JAM - LIGHT,41.88,-87.63,1
JAM - LIGHT,41.88,-87.62,1
JAM - LIGHT,41.92,-87.81,1
JAM - MODERATE,41.92,-87.67,91
JAM - MODERATE,41.9,-87.66,88
JAM - MODERATE,41.89,-87.65,70
JAM - MODERATE,41.97,-87.75,69
JAM - MODERATE,41.92,-87.68,65
JAM - MODERATE,41.98,-87.79,65
JAM - MODERATE,41.94,-87.71,64
JAM - MODERATE,41.93,-87.69,63
JAM - MODERATE,41.82,-87.73,60
JAM - MODERATE,41.88,-87.65,60
JAM - STAND_STILL,41.88,-87.65,4666
JAM - STAND_STILL,41.89,-87.65,4278
JAM - STAND_STILL,41.9,-87.66,3563
JAM - STAND_STILL,41.97,-87.76,2503
JAM - STAND_STILL,41.98,-87.75,2347
JAM - STAND_STILL,41.96,-87.74,2287
JAM - STAND_STILL,41.97,-87.75,2079
JAM - STAND_STILL,41.94,-87.71,1983
JAM - STAND_STILL,41.95,-87.73,1972
JAM - STAND_STILL,41.98,-87.78,1913
JAM - UNCLASSIFIED,41.89,-87.65,1086
JAM - UNCLASSIFIED,41.9,-87.66,973
JAM - UNCLASSIFIED,41.88,-87.65,944
JAM - UNCLASSIFIED,41.94,-87.71,624
JAM - UNCLASSIFIED,41.92,-87.67,612
JAM - UNCLASSIFIED,41.98,-87.79,610
JAM - UNCLASSIFIED,41.98,-87.78,604
JAM - UNCLASSIFIED,41.93,-87.69,593
JAM - UNCLASSIFIED,41.85,-87.64,582
JAM - UNCLASSIFIED,41.91,-87.66,581
ROAD_CLOSED - CONSTRUCTION,41.88,-87.65,15
ROAD_CLOSED - CONSTRUCTION,41.9,-87.66,12
ROAD_CLOSED - CONSTRUCTION,41.96,-87.69,5
ROAD_CLOSED - CONSTRUCTION,41.97,-87.73,5
ROAD_CLOSED - CONSTRUCTION,41.87,-87.64,4
ROAD_CLOSED - CONSTRUCTION,41.89,-87.69,4
ROAD_CLOSED - CONSTRUCTION,41.94,-87.65,4
ROAD_CLOSED - CONSTRUCTION,41.97,-87.74,4
ROAD_CLOSED - CONSTRUCTION,41.83,-87.64,3
ROAD_CLOSED - CONSTRUCTION,41.94,-87.66,3
ROAD_CLOSED - EVENT,41.96,-87.75,9907
ROAD_CLOSED - EVENT,41.88,-87.65,5002
ROAD_CLOSED - EVENT,41.84,-87.63,4974
ROAD_CLOSED - EVENT,41.69,-87.6,4964
ROAD_CLOSED - EVENT,41.89,-87.65,4964
ROAD_CLOSED - EVENT,41.71,-87.64,4947
ROAD_CLOSED - EVENT,41.97,-87.75,4932
ROAD_CLOSED - EVENT,41.88,-87.62,291
ROAD_CLOSED - EVENT,41.87,-87.62,233
ROAD_CLOSED - EVENT,41.94,-87.64,116
ROAD_CLOSED - HAZARD,41.98,-87.66,2
ROAD_CLOSED - HAZARD,41.76,-87.71,1
ROAD_CLOSED - HAZARD,41.77,-87.68,1
ROAD_CLOSED - HAZARD,41.83,-87.64,1
ROAD_CLOSED - HAZARD,41.84,-87.67,1
ROAD_CLOSED - HAZARD,41.89,-87.65,1
ROAD_CLOSED - HAZARD,41.89,-87.62,1
ROAD_CLOSED - HAZARD,41.93,-87.67,1
ROAD_CLOSED - HAZARD,41.97,-87.73,1
ROAD_CLOSED - HAZARD,41.99,-87.75,1
ROAD_CLOSED - UNCLASSIFED,41.88,-87.65,979
ROAD_CLOSED - UNCLASSIFED,41.9,-87.66,585
ROAD_CLOSED - UNCLASSIFED,41.88,-87.62,420
ROAD_CLOSED - UNCLASSIFED,41.9,-87.63,384
ROAD_CLOSED - UNCLASSIFED,41.87,-87.62,367
ROAD_CLOSED - UNCLASSIFED,41.95,-87.65,329
ROAD_CLOSED - UNCLASSIFED,41.94,-87.65,314
ROAD_CLOSED - UNCLASSIFED,41.87,-87.64,257
ROAD_CLOSED - UNCLASSIFED,41.89,-87.65,254
ROAD_CLOSED - UNCLASSIFED,41.96,-87.7,250
