hour_range,type_subtype,latitude,longitude,count
0-3,ROAD_CLOSED - EVENT,41.96,-87.75,1190
0-3,ROAD_CLOSED - EVENT,41.88,-87.65,624
0-3,ROAD_CLOSED - EVENT,41.89,-87.65,604
0-3,ROAD_CLOSED - EVENT,41.97,-87.75,596
0-3,ROAD_CLOSED - EVENT,41.69,-87.6,595
0-3,ROAD_CLOSED - EVENT,41.71,-87.64,595
0-3,ROAD_CLOSED - EVENT,41.84,-87.63,593
0-3,JAM - HEAVY,41.89,-87.65,486
0-3,JAM - HEAVY,41.9,-87.66,462
0-3,HAZARD - ON_SHOULDER,41.89,-87.65,409
4-6,ROAD_CLOSED - EVENT,41.96,-87.75,1263
4-6,ROAD_CLOSED - EVENT,41.88,-87.65,658
4-6,ROAD_CLOSED - EVENT,41.89,-87.65,651
4-6,ROAD_CLOSED - EVENT,41.97,-87.75,644
4-6,ROAD_CLOSED - EVENT,41.69,-87.6,638
4-6,ROAD_CLOSED - EVENT,41.84,-87.63,637
4-6,ROAD_CLOSED - EVENT,41.71,-87.64,634
4-6,HAZARD - ON_ROAD,41.88,-87.67,213
4-6,HAZARD - ON_ROAD,41.88,-87.65,199
4-6,HAZARD - ON_SHOULDER,41.89,-87.65,184
6-9,ROAD_CLOSED - EVENT,41.96,-87.75,1250
6-9,ROAD_CLOSED - EVENT,41.71,-87.64,625
6-9,ROAD_CLOSED - EVENT,41.84,-87.63,624
6-9,ROAD_CLOSED - EVENT,41.69,-87.6,622
6-9,ROAD_CLOSED - EVENT,41.89,-87.65,619
6-9,ROAD_CLOSED - EVENT,41.97,-87.75,618
6-9,ROAD_CLOSED - EVENT,41.88,-87.65,616
6-9,HAZARD - ON_ROAD,41.88,-87.67,263
6-9,HAZARD - ON_ROAD,41.87,-87.73,122
6-9,HAZARD - ON_ROAD,41.81,-87.63,115
9-12,ROAD_CLOSED - EVENT,41.96,-87.75,1186
9-12,ROAD_CLOSED - EVENT,41.71,-87.64,594
9-12,ROAD_CLOSED - EVENT,41.89,-87.65,594
9-12,ROAD_CLOSED - EVENT,41.88,-87.65,593
9-12,ROAD_CLOSED - EVENT,41.97,-87.75,593
9-12,ROAD_CLOSED - EVENT,41.69,-87.6,592
9-12,ROAD_CLOSED - EVENT,41.84,-87.63,592
9-12,JAM - HEAVY,41.96,-87.74,392
9-12,JAM - HEAVY,41.97,-87.75,380
9-12,JAM - HEAVY,41.94,-87.71,376
12-15,ROAD_CLOSED - EVENT,41.96,-87.75,1212
12-15,HAZARD - ON_SHOULDER,41.84,-87.63,681
12-15,HAZARD - ON_SHOULDER,41.82,-87.63,633
12-15,JAM - STAND_STILL,41.96,-87.74,629
12-15,JAM - STAND_STILL,41.94,-87.71,624
12-15,ROAD_CLOSED - EVENT,41.69,-87.6,610
12-15,ROAD_CLOSED - EVENT,41.89,-87.65,608
12-15,JAM - STAND_STILL,41.95,-87.73,605
12-15,ROAD_CLOSED - EVENT,41.71,-87.64,605
12-15,ROAD_CLOSED - EVENT,41.88,-87.65,604
15-18,ROAD_CLOSED - EVENT,41.96,-87.75,1287
15-18,JAM - HEAVY,41.89,-87.65,880
15-18,JAM - STAND_STILL,41.89,-87.65,787
15-18,JAM - STAND_STILL,41.88,-87.65,712
15-18,JAM - HEAVY,41.9,-87.66,694
15-18,JAM - HEAVY,41.88,-87.65,665
15-18,ROAD_CLOSED - EVENT,41.84,-87.63,665
15-18,ROAD_CLOSED - EVENT,41.88,-87.65,659
15-18,ROAD_CLOSED - EVENT,41.69,-87.6,647
15-18,ROAD_CLOSED - EVENT,41.89,-87.65,647
18-21,JAM - STAND_STILL,41.88,-87.65,1743
18-21,JAM - HEAVY,41.88,-87.65,1494
18-21,JAM - STAND_STILL,41.89,-87.65,1452
18-21,JAM - HEAVY,41.9,-87.66,1395
18-21,ROAD_CLOSED - EVENT,41.96,-87.75,1323
18-21,JAM - STAND_STILL,41.9,-87.66,1292
18-21,JAM - HEAVY,41.89,-87.65,1207
18-21,JAM - HEAVY,41.96,-87.74,866
18-21,JAM - HEAVY,41.85,-87.64,760
18-21,JAM - HEAVY,41.92,-87.67,715
21-23,JAM - STAND_STILL,41.88,-87.65,1230
21-23,JAM - STAND_STILL,41.89,-87.65,956
21-23,JAM - STAND_STILL,41.9,-87.66,905
21-23,JAM - HEAVY,41.88,-87.65,900
21-23,ROAD_CLOSED - EVENT,41.96,-87.75,760
21-23,JAM - HEAVY,41.9,-87.66,749
21-23,JAM - HEAVY,41.89,-87.65,675
21-23,JAM - STAND_STILL,41.89,-87.64,628
21-23,JAM - STAND_STILL,41.98,-87.75,521
21-23,JAM - STAND_STILL,41.9,-87.62,487
